name,physical_address,postal_address,phone_number
Sacred Heart Primary School,"34 Emery Ave, NT, Woodroffe","PO Box 271, NT, Palmerston, 0831",(08) 8924 8700
Sadadeen Primary School,"80 Spearwood Rd, NT, Alice Springs, 0870","PO Box 2707, NT, ALICE SPRINGS, 0871",(08) 895 52299
Sanderson Middle School,"60 Matthews Rd, NT, Malak, 0812","PO Box 189, NT, SANDERSON, 0813",(08) 8927 8899
Sattler Christian College,"15 Sattler Cres, NT, Freds Pass","PO Box 1138,, NT, Coolalinga, 0839",7922 1500
School of Sport Education NT,"1 Nemarluk Drive, NT, Ludmilla, NT, 0820","PO Box 42896, NT, Casuarina, 0811",(08) 899 95700
SEDA College NT,"5/90 Ross Smith Ave, NT, Fannie Bay, 0820","5/90 Ross Smith Ave, NT, Fannie Bay, 0820",1300 337 332
Shepherdson College,"Wakirana St, NT, Galiwinku, 0822","PMB 74, NT, via WINELLIE, 0822",(08) 8987 9044
Shepherdson Pre School,"Wakirana St, NT, Galiwinku",",",(08) 8987 9044
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, NT, Humpty Doo","PO Box 921, NT, Humpty Doo,",(08) 8988 1212
St Francis Xavier School,"n/a, NT, Nauiyu","CMB 28, NT, Daly River, 0822",(08) 8978 2427
St Johns Catholic College,"54 Salonika St, NT, The Gardens","Mail Bag 13, NT, Darwin, 0820",(08) 8982 2222
St Joseph's Catholic College,"Maluka Rd, NT, Katherine East","PO Box 535, NT, Katherine, 0850",(08) 89723555
St Joseph's Flexible Learning Centre,"Youth Hub, 3 Wills Terrace,, NT, Alice Springs, 0870","P O Box 2991, NT, Alice Springs, 0871",0408 568 357
St Mary's Catholic School,"3 Lindsay St, NT, Darwin City","PO Box 2413, NT, Darwin, 0801",(08) 8981 9796
St Pauls Catholic School,"41 Francis St, NT, Rapid Creek","PO Box 40344, NT, Casuarina, 0811",(08) 8985 1937
St Philip's College,"2 Ulpaya Rd, NT, Alice Springs","PO Box 33, NT, Alice Springs, 0871",(08) 8950 4511
Stirling School,"N/A, NT, Wilora (Stirling Station) 0872","c/- Ti Tree Post Office, NT, Ti Tree, 0872",(08) 8956 9759
Stuart Park Pre School,"8 Nudl St, NT, Stuart Park",",",(08) 899 77322
Stuart Park Primary School,"8 Nudl St, NT, Stuart Park, 0820","PO Box 37421, NT, Winnellie, 0831",(08) 899 77333
Taminmin College,"70 Challoner Cct, NT, Humpty Doo","PO Box 21, NT, HUMPTY DOO, 0836",(08) 898 37000
Tennant Creek High School,"38 Stuart St, NT, Tennant Creek","PO Box 546, NT, Tennant Creek, 0861",(08) 8962 2102
Tennant Creek Pre School,"31 Paterson St, NT, Tennant Creek",",",(08) 8962 2110
Tennant Creek Primary School,"31 Paterson St, NT, Tennant Creek, 0860","PO Box 506, NT, Tennant Creek, 0861",(08) 896 32424
Ti Tree School,"26 Palmer St, NT, Ti-Tree","Locked Bag 257,, NT, Ti Tree, via Alice Springs, 0872",(08) 8956 9743
Timber Creek School,"62 Wilson St, NT, Timber Creek","PMB 115, NT, via Katherine, 0851",(08) 8975 0714
Tipperary Station School,"Daly River Road, NT, Tipperary","PMB 214, NT, via Winnellie, 0822",(08) 8978 2765
Titjikala School,"N/A, NT, Titjikala (Maryvale)","PMB 130, NT, via Alice Springs, 0872",(08) 8956 0927
Tivendale School,"Tivendale Road, NT, Berrimah, 0828","PO Box 703, NT, Karama, 0812",(08) 899 95910
Tiwi College,"Pickertaramoor Melville Island, NT","LMB 127, NT, Winnellie, 0822",08 89709024
Top End School of Flexible Learning,"1 Malak Place, NT, Malak, 0812","PO Box 703, NT, Karama, 0812",(08) 899 77199
Urapunga School,"Blyth St, NT, Rittarangu (Urapunga)","PMB 12, NT, via Katherine, 0852",(08) 8975 4645
Wagaman Pre School,"35 Wagaman Tce, NT, Wagaman",",",(08) 8922 6011
